N,U/L,Avg_Frac_1,Avg_Frac_2
2,0.1,0.0,1.0
2,0.2,0.0,1.0
2,0.3,0.0,1.0
2,0.4,0.0,1.0
2,0.5,0.0,1.0
2,0.6,0.0,1.0
2,0.7,0.0,1.0
2,0.8,0.0,1.0
2,0.9,0.0,1.0
2,1.0,0.0,1.0
2,1.1,0.0,1.0
2,1.2,0.0,1.0
2,1.3,0.4991,0.5009
2,1.4,0.0,1.0
2,1.5,0.0,1.0
2,1.6,0.0,1.0
2,1.7,0.4943,0.5057
2,1.8,0.0,1.0
2,1.9,0.0,1.0
2,2.0,0.5,0.5
2,2.1,0.5,0.5
2,2.2,0.4984,0.5015999999999999
2,2.3,0.5,0.5
2,2.4,0.9974000000000001,0.0026
2,2.5,0.4989,0.5011
2,2.6,0.5,0.5
2,2.7,0.5112,0.4888
2,2.8,0.5157,0.4843
2,2.9,0.9933,0.0067
2,3.0,0.5,0.5
2,3.1,0.5023000000000001,0.4977
2,3.2,0.5026999999999999,0.4973
2,3.3,0.5578,0.4422
2,3.4,0.9886,0.011399999999999999
2,3.5,0.9933,0.0067
2,3.6,0.6014,0.3986
2,3.7,0.5001,0.4999
2,3.8,1.0,0.0
2,3.9,1.0,0.0
2,4.0,1.0,0.0
2,4.1,0.995,0.005
2,4.2,0.9878,0.012200000000000003
2,4.3,0.5541,0.44589999999999996
2,4.4,1.0,0.0
2,4.5,0.5073000000000001,0.49269999999999997
2,4.6,0.9982,0.0018
2,4.7,0.9924000000000001,0.0076
2,4.8,0.9931,0.006900000000000001
2,4.9,0.9942,0.0058000000000000005
2,5.0,0.9996,0.0004
2,5.1,0.5125,0.4875
2,5.2,1.0,0.0
2,5.3,0.5191,0.48090000000000005
2,5.4,0.9984999999999999,0.0015
2,5.5,0.6561,0.3439
2,5.6,0.5411,0.45890000000000003
2,5.7,0.9953,0.004699999999999999
2,5.8,0.5421,0.4579
2,5.9,0.9956999999999999,0.0043
2,6.0,0.9998,0.0002
2,6.1,0.9993000000000001,0.0007000000000000001
2,6.2,0.9919,0.008100000000000001
2,6.3,1.0,0.0
2,6.4,1.0,0.0
2,6.5,0.9981,0.0019
2,6.6,0.9998,0.0002
2,6.7,0.9998,0.0002
2,6.8,1.0,0.0
2,6.9,0.9928999999999999,0.0070999999999999995
2,7.0,0.9828999999999999,0.0171
2,7.1,1.0,0.0
2,7.2,1.0,0.0
2,7.3,1.0,0.0
2,7.4,0.9955000000000002,0.0045000000000000005
2,7.5,1.0,0.0
2,7.6,1.0,0.0
2,7.7,0.9982000000000001,0.0018
2,7.8,1.0,0.0
2,7.9,1.0,0.0
2,8.0,1.0,0.0
2,8.1,0.9953,0.004699999999999999
2,8.2,0.9999000000000001,0.0001
2,8.3,0.9990000000000001,0.001
2,8.4,1.0,0.0
2,8.5,1.0,0.0
2,8.6,1.0,0.0
2,8.7,0.9997,0.0003
2,8.8,0.9992,0.0008
2,8.9,1.0,0.0
2,9.0,1.0,0.0
2,9.1,0.9983,0.0017000000000000001
2,9.2,0.9923000000000001,0.0077
2,9.3,0.511,0.489
2,9.4,1.0,0.0
